TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE
dbo	__EFMigrationsHistory	MigrationId	nvarchar	150	NO
dbo	__EFMigrationsHistory	ProductVersion	nvarchar	32	NO
dbo	APICredentials	Id	int	NULL	NO
dbo	APICredentials	Username	nvarchar	50	NO
dbo	APICredentials	PasswordHash	nvarchar	255	NO
dbo	DealerOrderMHZPC	Id	int	NULL	NO
dbo	DealerOrderMHZPC	OrderNumber	int	NULL	YES
dbo	DealerOrderMHZPC	CartId	int	NULL	YES
dbo	DealerOrderMHZPC	PriceCardType	nvarchar	50	YES
dbo	DealerOrderMHZPC	ProductName	nvarchar	255	YES
dbo	DealerOrderMHZPC	Condition_Amount	decimal	NULL	YES
dbo	DealerOrderMHZPC	BookingPrice	decimal	NULL	YES
dbo	DealerOrderMHZPC	OrderQuantity	float	NULL	YES
dbo	DealerOrderMHZPC	OrderAmount	decimal	NULL	YES
dbo	DealerOrderMHZPC	BookingAmount	decimal	NULL	YES
dbo	DealerOrderMHZPC	BalanceAmountToPay	decimal	NULL	YES
dbo	DealerOrderMHZPC	SecondaryProductName	nvarchar	255	YES
dbo	DealerOrderMHZPC	SecondaryCondition_Amount	decimal	NULL	YES
dbo	DealerOrderMHZPC	SecondaryBookingPrice	decimal	NULL	YES
dbo	DealerOrderMHZPC	SecondaryOrderQuantity	float	NULL	YES
dbo	DealerOrderMHZPC	SecondaryOrderAmount	decimal	NULL	YES
dbo	DealerOrderMHZPC	SecondaryBookingAmount	decimal	NULL	YES
dbo	DealerOrderMHZPC	SecondaryBalanceAmountToPay	decimal	NULL	YES
dbo	DealerOrderMHZPC	DispatchStatus	nvarchar	50	YES
dbo	DealerOrderMHZPC	TMApproval	nvarchar	50	YES
dbo	DealerOrderMHZPC	SoNumber	nvarchar	50	YES
dbo	DealerOrderMHZPC	DateOfPurchase	datetime	NULL	YES
dbo	DealerOrderMHZPC	TMApproval_Date	datetime	NULL	YES
dbo	DealerOrderMHZPC	HAApproval	nvarchar	50	YES
dbo	DealerOrderMHZPC	HAApproval_Date	datetime	NULL	YES
dbo	DealerOrderMHZPC	PrimaryRatio	bigint	NULL	YES
dbo	DealerOrderMHZPC	SecondaryRatio	bigint	NULL	YES
dbo	DealerOrderMHZPC	ProductId	int	NULL	YES
dbo	DealerOrderMHZPC	TMNAME	nvarchar	50	YES
dbo	DealerOrderMHZPC	TMUserCode	nvarchar	50	YES
dbo	DealerOrderMHZPC	HAName	nvarchar	50	YES
dbo	DealerOrderMHZPC	HAUserCode	nvarchar	50	YES
dbo	DealerOrderMHZPC	TMRejectionReasonId	int	NULL	YES
dbo	DealerOrderMHZPC	HARejectionReasonId	int	NULL	YES
dbo	DealerOrderMHZPC	PrimaryDispatchStatus	nvarchar	20	YES
dbo	DealerOrderMHZPC	SecondaryDispatchStatus	nvarchar	20	YES
dbo	DealerOrderMHZPC	SODate	date	NULL	YES
dbo	DispatchRequests	Id	int	NULL	NO
dbo	DispatchRequests	CustomerCode	nvarchar	50	NO
dbo	DispatchRequests	OrderNumber	int	NULL	YES
dbo	DispatchRequests	ProductId	int	NULL	YES
dbo	DispatchRequests	ItemId	int	NULL	YES
dbo	DispatchRequests	PriceCardType	nvarchar	20	NO
dbo	DispatchRequests	PricePerKg	decimal	NULL	NO
dbo	DispatchRequests	BookingPrice	decimal	NULL	NO
dbo	DispatchRequests	BookedQty	float	NULL	YES
dbo	DispatchRequests	BookingAmtPaid	decimal	NULL	NO
dbo	DispatchRequests	BalanceAmtToPay	decimal	NULL	NO
dbo	DispatchRequests	BalanceQuantity	float	NULL	YES
dbo	DispatchRequests	DispatchStatus	nvarchar	20	NO
dbo	DispatchRequests	RequestForQuantityMT	decimal	NULL	NO
dbo	DispatchRequests	AmountRequiredToDispatch	decimal	NULL	NO
dbo	DispatchRequests	BookingAmountReceived	decimal	NULL	NO
dbo	DispatchRequests	BalanceAmount	decimal	NULL	NO
dbo	DispatchRequests	FromDate	date	NULL	NO
dbo	DispatchRequests	ToDate	date	NULL	NO
dbo	DispatchRequests	DispatchAddress	nvarchar	255	NO
dbo	DispatchRequests	CreatedOn	datetime	NULL	YES
dbo	ErrorLog	ErrorID	int	NULL	NO
dbo	ErrorLog	ErrorMessage	nvarchar	4000	YES
dbo	ErrorLog	ErrorProcedure	nvarchar	255	YES
dbo	ErrorLog	ErrorSeverity	int	NULL	YES
dbo	ErrorLog	ErrorState	int	NULL	YES
dbo	ErrorLog	ErrorDate	datetime	NULL	YES
dbo	ErrorLog_AddtoCart	Id	int	NULL	NO
dbo	ErrorLog_AddtoCart	ErrorMessage	nvarchar	4000	YES
dbo	ErrorLog_AddtoCart	ErrorSeverity	int	NULL	YES
dbo	ErrorLog_AddtoCart	ErrorState	int	NULL	YES
dbo	ErrorLog_AddtoCart	ProcedureName	nvarchar	255	YES
dbo	ErrorLog_AddtoCart	ErrorLine	int	NULL	YES
dbo	ErrorLog_AddtoCart	ErrorDate	datetime	NULL	YES
dbo	ErrorLog_CreateSales_Indent	ErrorMessage	nvarchar	4000	YES
dbo	ErrorLog_CreateSales_Indent	ErrorSeverity	int	NULL	YES
dbo	ErrorLog_CreateSales_Indent	ErrorState	int	NULL	YES
dbo	ErrorLog_CreateSales_Indent	ErrorProcedure	nvarchar	50	YES
dbo	ErrorLog_CreateSales_Indent	ErrorLine	int	NULL	YES
dbo	ErrorLog_CreateSales_Indent	ErrorDate	datetime	NULL	YES
dbo	ErrorLog_CreateSales_Indent	ResultMessage	nvarchar	-1	YES
dbo	ErrorLog_CreateSales_Indent	ErrorId	bigint	NULL	NO
dbo	ErrorLog_dashboard	Id	int	NULL	NO
dbo	ErrorLog_dashboard	ErrorNumber	int	NULL	YES
dbo	ErrorLog_dashboard	ErrorSeverity	int	NULL	YES
dbo	ErrorLog_dashboard	ErrorState	int	NULL	YES
dbo	ErrorLog_dashboard	ErrorProcedure	nvarchar	128	YES
dbo	ErrorLog_dashboard	ErrorLine	int	NULL	YES
dbo	ErrorLog_dashboard	ErrorMessage	nvarchar	-1	YES
dbo	ErrorLog_dashboard	ProcedureName	nvarchar	128	YES
dbo	ErrorLog_dashboard	LoggedAt	datetime	NULL	YES
dbo	ErrorLog_dashboard_2	Id	int	NULL	NO
dbo	ErrorLog_dashboard_2	ErrorNumber	int	NULL	YES
dbo	ErrorLog_dashboard_2	ErrorSeverity	int	NULL	YES
dbo	ErrorLog_dashboard_2	ErrorState	int	NULL	YES
dbo	ErrorLog_dashboard_2	ErrorProcedure	nvarchar	128	YES
dbo	ErrorLog_dashboard_2	ErrorLine	int	NULL	YES
dbo	ErrorLog_dashboard_2	ErrorMessage	nvarchar	-1	YES
dbo	ErrorLog_dashboard_2	ProcedureName	nvarchar	128	YES
dbo	ErrorLog_dashboard_2	LoggedAt	datetime	NULL	YES
dbo	ErrorLog_GetProductOffering	Id	int	NULL	NO
dbo	ErrorLog_GetProductOffering	ErrorMessage	nvarchar	4000	YES
dbo	ErrorLog_GetProductOffering	ErrorSeverity	int	NULL	YES
dbo	ErrorLog_GetProductOffering	ErrorState	int	NULL	YES
dbo	ErrorLog_GetProductOffering	ProcedureName	nvarchar	255	YES
dbo	ErrorLog_GetProductOffering	ErrorLine	int	NULL	YES
dbo	ErrorLog_GetProductOffering	ErrorDate	datetime	NULL	YES
dbo	FcmTokens	Id	int	NULL	NO
dbo	FcmTokens	UserCode	nvarchar	50	YES
dbo	FcmTokens	FcmToken	nvarchar	500	YES
dbo	FcmTokens	CreatedAt	datetime	NULL	YES
dbo	MaterialMaster	Material_Number	nvarchar	15	YES
dbo	MaterialMaster	Material_Description	nvarchar	120	YES
dbo	NotificationHistory	Id	int	NULL	NO
dbo	NotificationHistory	Title	nvarchar	250	YES
dbo	NotificationHistory	Message	nvarchar	-1	YES
dbo	NotificationHistory	SentDate	datetime	NULL	YES
dbo	NotificationHistory	UserCode	nvarchar	50	YES
dbo	NotificationHistory	IsRead	bit	NULL	NO
dbo	OrdersMHZPC	OrderNumber	int	NULL	NO
dbo	OrdersMHZPC	CustomerCode	nvarchar	50	NO
dbo	OrdersMHZPC	BillingAddress	nvarchar	255	NO
dbo	OrdersMHZPC	ShippingAddress	nvarchar	255	NO
dbo	OrdersMHZPC	ContactPersonName	nvarchar	100	NO
dbo	OrdersMHZPC	ContactPersonNumber	nvarchar	20	NO
dbo	OrdersMHZPC	OrderDate	datetime	NULL	YES
dbo	OrdersMHZPC	OrderStatus	nvarchar	50	YES
dbo	OtpRequests	Id	uniqueidentifier	NULL	NO
dbo	OtpRequests	Email	varchar	255	NO
dbo	OtpRequests	OtpHash	varchar	256	NO
dbo	OtpRequests	CreatedAt	datetime	NULL	NO
dbo	OtpRequests	ExpiresAt	datetime	NULL	NO
dbo	OtpRequests	IsUsed	bit	NULL	NO
dbo	OtpRequests	ResetToken	varchar	256	YES
dbo	OtpRequests	ResetTokenExpiresAt	datetime	NULL	YES
dbo	RefreshTokens	Id	int	NULL	NO
dbo	RefreshTokens	Token	nvarchar	-1	NO
dbo	RefreshTokens	UserCode	nvarchar	-1	NO
dbo	RefreshTokens	CreatedAt	datetime2	NULL	NO
dbo	RefreshTokens	ExpiresAt	datetime2	NULL	NO
dbo	RefreshTokens	IsRevoked	bit	NULL	NO
dbo	RefreshTokens	ReplacedByToken	nvarchar	-1	YES
dbo	RefreshTokens	IPAddress	nvarchar	-1	YES
dbo	RejectionReasons	Id	int	NULL	NO
dbo	RejectionReasons	Reason	nvarchar	255	NO
dbo	Roles	RoleId	int	NULL	NO
dbo	Roles	RoleName	nvarchar	-1	NO
dbo	TB_Balance_Confirmation	BalanceConfirmationId	bigint	NULL	NO
dbo	TB_Balance_Confirmation	CompanyCode	bigint	NULL	YES
dbo	TB_Balance_Confirmation	UserCode	nvarchar	50	YES
dbo	TB_Balance_Confirmation	CustomerName	nvarchar	-1	YES
dbo	TB_Balance_Confirmation	RepManCode	nvarchar	50	YES
dbo	TB_Balance_Confirmation	Emp_Name	nvarchar	-1	YES
dbo	TB_Balance_Confirmation	Debit_Amount	decimal	NULL	YES
dbo	TB_Balance_Confirmation	Credit_Amount	decimal	NULL	YES
dbo	TB_Balance_Confirmation	Balance_Amount	decimal	NULL	YES
dbo	TB_Balance_Confirmation	CreatedAt	datetime	NULL	YES
dbo	TB_Balance_Confirmation	AcceptByCustomer	bit	NULL	YES
dbo	TB_Balance_Confirmation	AcceptDate	datetime	NULL	YES
dbo	TB_Balance_Confirmation	RejectByCustomer	bit	NULL	YES
dbo	TB_Balance_Confirmation	RejectDate	datetime	NULL	YES
dbo	TB_Balance_Confirmation	UserCodeStatus	nvarchar	-1	YES
dbo	TB_Balance_Confirmation	RejectedReason	nvarchar	-1	YES
dbo	TB_BannerImages	BannerId	int	NULL	NO
dbo	TB_BannerImages	Title	nvarchar	255	NO
dbo	TB_BannerImages	ImageUrl	nvarchar	-1	NO
dbo	TB_BannerImages	CreatedOn	datetime	NULL	YES
dbo	TB_BannerImages	IsActive	bit	NULL	YES
